Date,Close
1/2/2018,6339.24
1/3/2018,6251.48
1/4/2018,6292.32
1/5/2018,6353.74
1/8/2018,6385.4
1/9/2018,6373.14
1/10/2018,6371.17
1/11/2018,6386.34
1/12/2018,6370.06
1/15/2018,6382.19
1/16/2018,6429.69
1/17/2018,6444.52
1/18/2018,6472.67
1/19/2018,6490.9
1/22/2018,6500.53
1/23/2018,6635.33
1/24/2018,6615.49
1/25/2018,6615.33
1/26/2018,6660.62
1/29/2018,6680.62
1/30/2018,6575.49
1/31/2018,6605.63
2/1/2018,6598.46
2/2/2018,6628.82
2/5/2018,6589.67
2/6/2018,6478.54
2/7/2018,6534.87
2/8/2018,6544.63
2/9/2018,6505.52
2/12/2018,6523.45
2/13/2018,6578.18
2/14/2018,6594.4
2/15/2018,6591.58
2/19/2018,6689.29
2/20/2018,6662.88
2/21/2018,6643.4
2/22/2018,6593.06
2/23/2018,6619.8
2/26/2018,6554.67
2/27/2018,6598.93
2/28/2018,6597.22
3/1/2018,6606.05
3/2/2018,6582.32
3/5/2018,6550.59
3/6/2018,6500.11
3/7/2018,6368.27
3/8/2018,6443.02
3/9/2018,6433.32
3/12/2018,6500.69
3/13/2018,6412.85
3/14/2018,6382.62
3/15/2018,6321.9
3/16/2018,6304.95
3/19/2018,6289.57
3/20/2018,6243.58
3/21/2018,6312.83
3/22/2018,6254.07
3/23/2018,6210.7
3/26/2018,6200.17
3/27/2018,6209.35
3/28/2018,6140.84
3/29/2018,6188.99
4/2/2018,6240.57
4/3/2018,6229.01
4/4/2018,6157.1
4/5/2018,6183.23
4/6/2018,6175.05
4/9/2018,6246.13
4/10/2018,6325.82
4/11/2018,6360.93
4/12/2018,6310.8
4/13/2018,6270.33
4/16/2018,6286.75
4/17/2018,6285.76
4/18/2018,6320
4/19/2018,6355.9
4/20/2018,6337.69
4/23/2018,6308.15
4/24/2018,6229.63
4/25/2018,6079.85
4/26/2018,5909.2
4/27/2018,5919.24
4/30/2018,5994.6
5/2/2018,6012.24
5/3/2018,5858.73
5/4/2018,5792.35
5/7/2018,5885.1
5/8/2018,5774.72
5/9/2018,5907.94
5/11/2018,5956.83
5/14/2018,5947.15
5/15/2018,5838.12
5/16/2018,5841.46
5/17/2018,5815.92
5/18/2018,5783.31
5/21/2018,5733.85
5/22/2018,5751.12
5/23/2018,5792
5/24/2018,5946.54
5/25/2018,5975.74
5/28/2018,6068.33
5/30/2018,6011.06
5/31/2018,5983.59
6/4/2018,6014.82
6/5/2018,6088.79
6/6/2018,6069.71
6/7/2018,6106.7
6/8/2018,5993.63
6/20/2018,5884.04
6/21/2018,5822.33
6/22/2018,5821.81
6/25/2018,5859.08
6/26/2018,5825.65
6/27/2018,5787.55
6/28/2018,5667.32
6/29/2018,5799.24
7/2/2018,5746.77
7/3/2018,5633.94
7/4/2018,5733.64
7/5/2018,5739.33
7/6/2018,5694.91
7/9/2018,5807.38
7/10/2018,5881.76
7/11/2018,5893.36
7/12/2018,5907.87
7/13/2018,5944.07
7/16/2018,5905.16
7/17/2018,5861.51
7/18/2018,5890.73
7/19/2018,5871.08
7/20/2018,5872.78
7/23/2018,5915.8
7/24/2018,5931.84
7/25/2018,5933.89
7/26/2018,5946.14
7/27/2018,5989.14
